52.370	4.890
51.930	4.480
52.080	4.280
52.100	5.110
51.440	5.470
51.570	5.070
53.230	6.570
52.360	5.170
51.580	4.770
51.840	5.850
52.220	5.960
52.220	6.890
52.390	4.620
51.990	5.910
52.450	4.820
52.160	5.380
51.700	5.310
52.300	4.700
50.850	5.690
51.800	4.670
52.170	4.490
52.070	4.490
52.520	6.090
52.790	6.900
52.040	5.650
51.010	5.860
52.010	4.360
50.910	6.030
52.640	4.750
53.210	5.790
51.380	6.170
52.270	6.160
51.480	5.650
52.230	5.180
52.270	6.780
51.540	4.460
52.320	4.860
52.520	4.940
51.850	4.320
51.940	4.370
51.920	4.330
52.090	4.390
52.360	6.650
52.020	4.700
52.140	4.660
52.520	5.450
52.650	5.050
51.760	5.520
52.470	4.630
51.500	4.290
51.940	4.580
53.010	6.560
52.030	5.080
52.020	5.550
52.100	5.230
52.960	4.750
52.570	6.610
53.110	6.090
51.650	4.860
52.730	6.490
51.970	6.280
52.140	5.570
50.870	6.060
51.260	5.700
52.560	5.910
52.670	4.850
52.050	4.360
52.090	4.910
51.500	3.610
52.720	5.760
51.870	4.590
51.200	5.990
51.700	5.070
51.460	3.570
52.180	5.290
52.010	6.010
51.690	5.160
51.390	5.380
52.120	5.170
52.960	5.920
51.900	5.900
52.300	5.230
52.790	6.100
52.210	4.400
51.910	5.430
51.820	4.640
52.350	5.630
51.670	5.610
52.040	5.160
51.580	4.620
51.840	4.130	
52.150	5.040
51.820	5.730
51.530	5.970
52.540	5.710
51.860	4.540
52.240	5.480
52.140	6.200
52.500	4.630
52.390	6.270
51.620	5.550
51.510	3.890
51.650	4.590
52.390	6.440
52.490	4.650
52.320	6.510
52.020	4.420
52.560	4.670
52.670	6.750
51.840	4.960
51.660	3.920
52.200	4.860
51.330	3.840
51.980	5.670
53.000	6.910
53.170	6.760
53.040	5.650
52.430	6.610
52.360	5.980
52.020	5.040
51.920	4.260
53.140	6.420
51.980	5.740
51.460	5.790
53.100	6.670
52.670	4.710
53.210	5.910
52.320	6.940
52.280	5.170
51.360	5.450
51.840	4.670
52.700	6.190
50.960	5.960
51.590	4.530
51.660	5.940
51.590	5.310
52.130	5.460
51.920	4.590	
51.980	6.720
51.730	5.520
51.500	5.400
53.340	6.910
52.000	4.190
51.460	6.040
51.440	5.560
52.510	4.990
51.640	5.340
53.100	6.860
51.560	5.700
52.160	4.520
51.960	5.230
52.600	4.650
51.680	4.790
51.960	6.010
52.310	5.610
52.230	4.830
52.930	6.790
51.820	4.900
52.390	5.790
50.970	5.760
52.510	6.260
52.390	6.990
51.800	5.240
53.050	6.700
52.350	4.610
51.940	6.070
51.870	5.780
51.890	5.300
51.660	5.290
52.660	4.780
51.630	4.940
51.590	5.190
52.160	4.390
51.550	4.940
51.730	5.920
52.220	5.270
53.270	6.600
52.160	6.730
52.250	4.430
51.540	4.210
52.340	4.970
52.180	6.140
51.620	5.440
51.830	4.750
51.470	5.540
51.590	4.310
52.370	6.590
52.270	5.610
51.990	5.350
51.830	4.420
51.630	5.070
51.980	4.630
52.450	5.900
52.270	4.760
51.530	4.560
51.520	5.060
52.270	7.010
51.430	3.730
51.940	5.570
52.140	4.450
52.600	4.700
51.850	4.630
52.260	4.560
51.550	3.660
51.430	4.300
52.090	6.150
52.450	5.830
50.940	5.790
52.180	4.470
53.210	5.530
51.890	5.090
51.870	6.380
51.690	4.910
52.300	4.570
52.370	5.540
52.040	4.180
51.470	4.660
52.320	6.720
51.320	5.590
52.420	6.770
51.290	4.050
50.890	5.750
52.010	5.100
52.090	4.740
53.300	6.010
52.010	4.150
53.170	6.370
51.990	6.560
51.330	6.000
52.170	6.410
52.240	5.380
51.930	6.310
52.840	6.360
51.370	5.210
51.100	5.890
52.090	4.540
51.940	6.570
51.790	5.930
53.170	6.600
53.150	7.030
51.870	4.660
51.390	5.710
52.050	5.260
51.370	5.310
51.790	4.470
51.340	3.500
53.250	6.460
52.390	6.050
51.320	5.360
51.890	5.610
51.520	5.310
52.320	5.020
51.840	4.830
51.970	5.560
50.870	5.830
51.760	4.150
52.710	5.290
51.980	4.470
53.400	6.610
52.790	4.790
52.400	4.610
52.670	5.600
52.380	4.530
50.940	5.790
52.460	6.510
51.570	5.460
52.470	5.030
51.700	5.960
52.300	5.140
51.940	6.120
53.030	7.110
52.110	6.640
52.040	4.280
51.390	5.440
50.920	5.880
51.290	5.750
51.970	5.960
